# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h14_diffXSecTopSemiLepPartontopPt
AidaPath=/REF/CMS_TOP_12_028_Parton/h14_diffXSecTopSemiLepPartontopPt
Title=diffXSecTopSemiLepPartontopPt
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
1.2000000000e+00 1.6000000000e+00 1.8800000000e-01 3.9480000000e-03
1.6000000000e+00 2.5000000000e+00 7.7700000000e-02 3.1857000000e-03
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h17_diffXSecTopSemiLepPartonttbarDelPhi
AidaPath=/REF/CMS_TOP_12_028_Parton/h17_diffXSecTopSemiLepPartonttbarDelPhi
Title=diffXSecTopSemiLepPartonttbarDelPhi
## Area: 1
## Num bins: 4
## xlow   xhigh     val     err
0.0000000000e+00 2.0000000000e+00 6.8300000000e-02 4.9859000000e-03
2.0000000000e+00 2.7500000000e+00 3.2200000000e-01 1.2880000000e-02
2.7500000000e+00 3.0000000000e+00 1.1300000000e+00 3.9550000000e-02
3.0000000000e+00 3.1500000000e+00 2.2700000000e+00 1.5436000000e-01
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h18_diffXSecTopSemiLepPartontopPtLead
AidaPath=/REF/CMS_TOP_12_028_Parton/h18_diffXSecTopSemiLepPartontopPtLead
Title=diffXSecTopSemiLepPartontopPtLead
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
0.0000000000e+00 6.0000000000e+01 2.6100000000e-03 1.4094000000e-04
6.0000000000e+01 1.0000000000e+02 6.3900000000e-03 1.7892000000e-04
1.0000000000e+02 1.5000000000e+02 5.5600000000e-03 2.0016000000e-04
1.5000000000e+02 2.0000000000e+02 3.3600000000e-03 1.3104000000e-04
2.0000000000e+02 2.6000000000e+02 1.4300000000e-03 5.5770000000e-05
2.6000000000e+02 3.2000000000e+02 5.5600000000e-04 3.7808000000e-05
3.2000000000e+02 4.0000000000e+02 1.8700000000e-04 1.6456000000e-05
4.0000000000e+02 5.0000000000e+02 5.6000000000e-05 6.7760000000e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h19_diffXSecTopSemiLepPartontopPtSubLead
AidaPath=/REF/CMS_TOP_12_028_Parton/h19_diffXSecTopSemiLepPartontopPtSubLead
Title=diffXSecTopSemiLepPartontopPtSubLead
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
0.0000000000e+00 6.0000000000e+01 5.6400000000e-03 1.9740000000e-04
6.0000000000e+01 1.0000000000e+02 6.9800000000e-03 1.8148000000e-04
1.0000000000e+02 1.5000000000e+02 4.3900000000e-03 1.3609000000e-04
1.5000000000e+02 2.0000000000e+02 1.9700000000e-03 7.6830000000e-05
2.0000000000e+02 2.6000000000e+02 6.9300000000e-04 2.9799000000e-05
2.6000000000e+02 3.2000000000e+02 2.4300000000e-04 1.4580000000e-05
3.2000000000e+02 4.0000000000e+02 7.5000000000e-05 6.7500000000e-06
4.0000000000e+02 5.0000000000e+02 1.9000000000e-05 3.0400000000e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h20_diffXSecTopSemiLepPartonttbarPt
AidaPath=/REF/CMS_TOP_12_028_Parton/h20_diffXSecTopSemiLepPartonttbarPt
Title=diffXSecTopSemiLepPartonttbarPt
## Area: 1
## Num bins: 6
## xlow   xhigh     val     err
0.0000000000e+00 2.0000000000e+01 1.3200000000e-02 1.0824000000e-03
2.0000000000e+01 4.5000000000e+01 1.1800000000e-02 4.6020000000e-04
4.5000000000e+01 7.5000000000e+01 6.4000000000e-03 3.7120000000e-04
7.5000000000e+01 1.2000000000e+02 2.8400000000e-03 1.9880000000e-04
1.2000000000e+02 1.9000000000e+02 1.0700000000e-03 6.6340000000e-05
1.9000000000e+02 3.0000000000e+02 3.0600000000e-04 3.9168000000e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h21_diffXSecTopSemiLepPartonttbarY
AidaPath=/REF/CMS_TOP_12_028_Parton/h21_diffXSecTopSemiLepPartonttbarY
Title=diffXSecTopSemiLepPartonttbarY
## Area: 1
## Num bins: 10
## xlow   xhigh     val     err
-2.5000000000e+00 -1.3000000000e+00 6.0700000000e-02 2.7315000000e-03
-1.3000000000e+00 -9.0000000000e-01 2.2000000000e-01 6.6000000000e-03
-9.0000000000e-01 -6.0000000000e-01 3.2700000000e-01 1.1118000000e-02
-6.0000000000e-01 -3.0000000000e-01 3.7300000000e-01 8.5790000000e-03
-3.0000000000e-01 0.0000000000e+00 4.2700000000e-01 9.3940000000e-03
0.0000000000e+00 3.0000000000e-01 4.1300000000e-01 9.9120000000e-03
3.0000000000e-01 6.0000000000e-01 3.7400000000e-01 8.9760000000e-03
6.0000000000e-01 9.0000000000e-01 3.1700000000e-01 7.9250000000e-03
9.0000000000e-01 1.3000000000e+00 2.3000000000e-01 6.4400000000e-03
1.3000000000e+00 2.5000000000e+00 6.4100000000e-02 3.2691000000e-03
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h22_diffXSecTopSemiLepPartonttbarMass
AidaPath=/REF/CMS_TOP_12_028_Parton/h22_diffXSecTopSemiLepPartonttbarMass
Title=diffXSecTopSemiLepPartonttbarMass
## Area: 1
## Num bins: 7
## xlow   xhigh     val     err
3.4500000000e+02 4.0000000000e+02 4.6900000000e-03 3.5175000000e-04
4.0000000000e+02 4.7000000000e+02 4.3000000000e-03 1.5480000000e-04
4.7000000000e+02 5.5000000000e+02 2.6700000000e-03 1.7088000000e-04
5.5000000000e+02 6.5000000000e+02 1.1700000000e-03 9.0090000000e-05
6.5000000000e+02 8.0000000000e+02 4.6600000000e-04 2.2834000000e-05
8.0000000000e+02 1.1000000000e+03 1.1400000000e-04 1.1400000000e-05
1.1000000000e+03 1.6000000000e+03 1.1000000000e-05 1.3970000000e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h23_diffXSecTopDiLepPartontopPt
AidaPath=/REF/CMS_TOP_12_028_Parton/h23_diffXSecTopDiLepPartontopPt
Title=diffXSecTopDiLepPartontopPt
## Area: 1
## Num bins: 5
## xlow   xhigh     val     err
0.0000000000e+00 6.5000000000e+01 4.3300000000e-03 1.0825000000e-04
6.5000000000e+01 1.2500000000e+02 6.4000000000e-03 1.0880000000e-04
1.2500000000e+02 2.0000000000e+02 3.0800000000e-03 7.0840000000e-05
2.0000000000e+02 2.9000000000e+02 8.6200000000e-04 3.2756000000e-05
2.9000000000e+02 4.0000000000e+02 1.8800000000e-04 1.4852000000e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h24_diffXSecTopDiLepPartontopPtTtbarSys
AidaPath=/REF/CMS_TOP_12_028_Parton/h24_diffXSecTopDiLepPartontopPtTtbarSys
Title=diffXSecTopDiLepPartontopPtTtbarSys
## Area: 1
## Num bins: 6
## xlow   xhigh     val     err
0.0000000000e+00 6.0000000000e+01 4.4500000000e-03 1.3795000000e-04
6.0000000000e+01 1.1500000000e+02 6.8900000000e-03 1.7225000000e-04
1.1500000000e+02 1.9000000000e+02 3.4100000000e-03 8.8660000000e-05
1.9000000000e+02 2.7500000000e+02 8.7800000000e-04 5.1802000000e-05
2.7500000000e+02 3.8000000000e+02 1.8700000000e-04 1.2529000000e-05
3.8000000000e+02 5.0000000000e+02 2.9100000000e-05 3.4338000000e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h25_diffXSecTopDiLepPartontopY
AidaPath=/REF/CMS_TOP_12_028_Parton/h25_diffXSecTopDiLepPartontopY
Title=diffXSecTopDiLepPartontopY
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
-2.5000000000e+00 -1.6000000000e+00 7.6300000000e-02 4.2728000000e-03
-1.6000000000e+00 -1.0000000000e+00 1.9700000000e-01 3.5460000000e-03
-1.0000000000e+00 -5.0000000000e-01 2.8200000000e-01 5.3580000000e-03
-5.0000000000e-01 0.0000000000e+00 3.3500000000e-01 6.0300000000e-03
0.0000000000e+00 5.0000000000e-01 3.2800000000e-01 7.2160000000e-03
5.0000000000e-01 1.0000000000e+00 2.8500000000e-01 4.2750000000e-03
1.0000000000e+00 1.6000000000e+00 2.0300000000e-01 3.0450000000e-03
1.6000000000e+00 2.5000000000e+00 7.4000000000e-02 4.2180000000e-03
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h26_diffXSecTopDiLepPartonttbarDelPhi
AidaPath=/REF/CMS_TOP_12_028_Parton/h26_diffXSecTopDiLepPartonttbarDelPhi
Title=diffXSecTopDiLepPartonttbarDelPhi
## Area: 1
## Num bins: 4
## xlow   xhigh     val     err
0.0000000000e+00 1.8900000000e+00 6.4000000000e-02 4.8640000000e-03
1.8900000000e+00 2.7700000000e+00 2.9600000000e-01 1.6872000000e-02
2.7700000000e+00 3.0400000000e+00 1.2400000000e+00 4.0920000000e-02
3.0400000000e+00 3.1500000000e+00 2.5800000000e+00 2.0640000000e-01
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h27_diffXSecTopDiLepPartontopPtLead
AidaPath=/REF/CMS_TOP_12_028_Parton/h27_diffXSecTopDiLepPartontopPtLead
Title=diffXSecTopDiLepPartontopPtLead
## Area: 1
## Num bins: 5
## xlow   xhigh     val     err
0.0000000000e+00 7.5000000000e+01 3.3100000000e-03 1.3240000000e-04
7.5000000000e+01 1.3000000000e+02 6.4300000000e-03 1.3503000000e-04
1.3000000000e+02 2.0000000000e+02 3.6700000000e-03 1.1744000000e-04
2.0000000000e+02 2.9000000000e+02 1.1700000000e-03 4.9140000000e-05
2.9000000000e+02 4.0000000000e+02 2.6100000000e-04 1.9836000000e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h28_diffXSecTopDiLepPartontopPtSubLead
AidaPath=/REF/CMS_TOP_12_028_Parton/h28_diffXSecTopDiLepPartontopPtSubLead
Title=diffXSecTopDiLepPartontopPtSubLead
## Area: 1
## Num bins: 5
## xlow   xhigh     val     err
0.0000000000e+00 5.5000000000e+01 5.3800000000e-03 1.5064000000e-04
5.5000000000e+01 1.2000000000e+02 6.7400000000e-03 1.4154000000e-04
1.2000000000e+02 2.0000000000e+02 2.5000000000e-03 6.7500000000e-05
2.0000000000e+02 2.9000000000e+02 5.5800000000e-04 2.9016000000e-05
2.9000000000e+02 4.0000000000e+02 1.1400000000e-04 1.2996000000e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h29_diffXSecTopDiLepPartonttbarPt
AidaPath=/REF/CMS_TOP_12_028_Parton/h29_diffXSecTopDiLepPartonttbarPt
Title=diffXSecTopDiLepPartonttbarPt
## Area: 1
## Num bins: 4
## xlow   xhigh     val     err
0.0000000000e+00 3.0000000000e+01 1.4300000000e-02 8.7230000000e-04
3.0000000000e+01 8.0000000000e+01 6.9000000000e-03 3.3120000000e-04
8.0000000000e+01 1.7000000000e+02 1.9100000000e-03 1.0505000000e-04
1.7000000000e+02 3.0000000000e+02 3.4700000000e-04 1.7697000000e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h30_diffXSecTopDiLepPartonttbarY
AidaPath=/REF/CMS_TOP_12_028_Parton/h30_diffXSecTopDiLepPartonttbarY
Title=diffXSecTopDiLepPartonttbarY
## Area: 1
## Num bins: 8
## xlow   xhigh     val     err
-2.5000000000e+00 -1.5000000000e+00 4.7100000000e-02 3.6267000000e-03
-1.5000000000e+00 -1.0000000000e+00 1.8200000000e-01 4.1860000000e-03
-1.0000000000e+00 -5.0000000000e-01 3.0900000000e-01 6.4890000000e-03
-5.0000000000e-01 0.0000000000e+00 4.1800000000e-01 8.7780000000e-03
0.0000000000e+00 5.0000000000e-01 4.0900000000e-01 6.9530000000e-03
5.0000000000e-01 1.0000000000e+00 3.1500000000e-01 6.3000000000e-03
1.0000000000e+00 1.5000000000e+00 1.7900000000e-01 4.6540000000e-03
1.5000000000e+00 2.5000000000e+00 4.5900000000e-02 3.3048000000e-03
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028_Parton/h31_diffXSecTopDiLepPartonttbarMass
AidaPath=/REF/CMS_TOP_12_028_Parton/h31_diffXSecTopDiLepPartonttbarMass
Title=diffXSecTopDiLepPartonttbarMass
## Area: 1
## Num bins: 6
## xlow   xhigh     val     err
3.4000000000e+02 3.8000000000e+02 4.1400000000e-03 3.7674000000e-04
3.8000000000e+02 4.7000000000e+02 4.5000000000e-03 2.5200000000e-04
4.7000000000e+02 6.2000000000e+02 1.9500000000e-03 6.6300000000e-05
6.2000000000e+02 8.2000000000e+02 5.2500000000e-04 2.2050000000e-05
8.2000000000e+02 1.1000000000e+03 1.0000000000e-04 8.2000000000e-06
1.1000000000e+03 1.6000000000e+03 7.2800000000e-06 2.3004800000e-06
# END HISTOGRAM
